id,xSite,ySite,zSite,radius,N_mes_600_655,N_mes_655_665,N_sim_600_655,N_sim_655_665
115,810.0,1830.0,1000.0,10.0,14.55938,2.88267,17301,17184
116,910.0,1830.0,1000.0,10.0,14.85048,2.97325,17676,17782
117,1010.0,1830.0,1000.0,10.0,14.92346,2.98886,17770,17885
118,1110.0,1830.0,1000.0,10.0,14.92579,3.03536,17773,18192
119,1210.0,1830.0,1000.0,10.0,15.11054,3.0193,18011,18086
120,110.0,930.0,1400.0,10.0,11.2783,2.25193,13125,13133
121,210.0,930.0,1400.0,10.0,11.97279,2.44565,13969,14299
122,310.0,930.0,1400.0,10.0,12.9742,2.63257,15259,15533
123,410.0,930.0,1400.0,10.0,13.94533,2.80738,16510,16687
124,510.0,930.0,1400.0,10.0,15.09036,2.99628,17985,17934
125,610.0,930.0,1400.0,10.0,15.6718,3.20275,18734,19297
126,710.0,930.0,1400.0,10.0,16.62974,3.32196,19968,20084
127,810.0,930.0,1400.0,10.0,17.13278,3.44345,20616,20886
128,910.0,930.0,1400.0,10.0,17.51238,3.51328,21105,21347
129,1010.0,930.0,1400.0,10.0,17.67695,3.46496,21317,21028
130,1110.0,930.0,1400.0,10.0,17.61718,3.48692,21240,21173
131,1210.0,930.0,1400.0,10.0,18.4054,3.6964,21073,21195
132,110.0,1030.0,1400.0,10.0,11.33235,2.27735,13144,13188
133,210.0,1030.0,1400.0,10.0,12.17928,2.45882,14235,14386
134,310.0,1030.0,1400.0,10.0,13.22572,2.64787,15583,15634
135,410.0,1030.0,1400.0,10.0,14.35677,2.81874,17040,16762
136,510.0,1030.0,1400.0,10.0,15.13073,3.08808,18037,18540
137,610.0,1030.0,1400.0,10.0,16.20278,3.25682,19418,19654
138,710.0,1030.0,1400.0,10.0,17.11569,3.41588,20594,20704
139,810.0,1030.0,1400.0,10.0,17.5737,3.52979,21184,21456
140,910.0,1030.0,1400.0,10.0,17.59466,3.54994,21211,21589
141,1010.0,1030.0,1400.0,10.0,17.78563,3.57039,21457,21724
142,1110.0,1030.0,1400.0,10.0,17.75613,3.58281,21419,21806
143,1210.0,1030.0,1400.0,10.0,17.84463,3.53676,21533,21502
144,110.0,1130.0,1400.0,10.0,11.5303,2.33279,13399,13554
145,210.0,1130.0,1400.0,10.0,12.45486,2.48124,14590,14534
146,310.0,1130.0,1400.0,10.0,13.49587,2.72528,15931,16145
147,410.0,1130.0,1400.0,10.0,14.80701,2.97552,17620,17797
148,510.0,1130.0,1400.0,10.0,16.16009,3.19623,19363,19254
149,610.0,1130.0,1400.0,10.0,17.5885,3.50119,20952,20849
150,710.0,1130.0,1400.0,10.0,17.97427,3.56827,21700,21710
151,810.0,1130.0,1400.0,10.0,18.44626,3.69173,22308,22525
152,910.0,1130.0,1400.0,10.0,18.32282,3.69324,22149,22535
153,1010.0,1130.0,1400.0,10.0,18.1994,3.65098,21990,22256
154,1110.0,1130.0,1400.0,10.0,18.3368,3.70309,22167,22600
155,1210.0,1130.0,1400.0,10.0,18.45246,3.68097,22316,22454
156,110.0,1230.0,1400.0,10.0,11.60405,2.36172,13494,13745
157,210.0,1230.0,1400.0,10.0,12.65825,2.56728,14852,15102
158,310.0,1230.0,1400.0,10.0,13.88013,2.82662,16426,16814
159,410.0,1230.0,1400.0,10.0,15.54526,3.12519,18571,18785
160,510.0,1230.0,1400.0,10.0,17.12346,3.40709,20604,20646
161,610.0,1230.0,1400.0,10.0,18.4773,3.69339,22348,22536
162,710.0,1230.0,1400.0,10.0,19.46086,3.83851,23615,23494
163,810.0,1230.0,1400.0,10.0,19.83115,3.95591,24092,24269
164,910.0,1230.0,1400.0,10.0,19.75818,3.95758,23998,24280
165,1010.0,1230.0,1400.0,10.0,19.58119,3.95818,23770,24284
166,1110.0,1230.0,1400.0,10.0,19.35839,3.84457,23483,23534
167,1210.0,1230.0,1400.0,10.0,19.57032,3.82563,23756,23409
168,110.0,1330.0,1400.0,10.0,10.8791,2.18031,14033,13768
169,210.0,1330.0,1400.0,10.0,12.98662,2.66635,15275,15756
170,310.0,1330.0,1400.0,10.0,14.67582,2.95068,17451,17633
171,410.0,1330.0,1400.0,10.0,16.50553,3.33272,19808,20155
172,510.0,1330.0,1400.0,10.0,18.07286,3.62841,21827,22107
173,610.0,1330.0,1400.0,10.0,19.6182,3.91336,24045,24473
174,710.0,1330.0,1400.0,10.0,20.8869,4.17343,25213,25813
175,810.0,1330.0,1400.0,10.0,21.53433,4.31128,26286,26615
176,910.0,1330.0,1400.0,10.0,21.31852,4.25902,26008,26270
177,1010.0,1330.0,1400.0,10.0,20.88069,4.21282,25444,25965
178,1110.0,1330.0,1400.0,10.0,20.33263,4.09254,24738,25171
179,1210.0,1330.0,1400.0,10.0,18.8231,3.80179,25179,25354
180,110.0,1430.0,1400.0,10.0,11.96425,2.44216,13958,14276
181,210.0,1430.0,1400.0,10.0,13.25832,2.70877,15625,16036
182,310.0,1430.0,1400.0,10.0,15.23941,3.03399,18177,18183
183,410.0,1430.0,1400.0,10.0,17.2562,3.44345,20775,20886
184,510.0,1430.0,1400.0,10.0,19.55945,3.89486,23742,23866
185,610.0,1430.0,1400.0,10.0,21.47921,4.31673,26215,26651
186,710.0,1430.0,1400.0,10.0,22.70575,4.54517,27795,28159
187,810.0,1430.0,1400.0,10.0,23.23673,4.65242,28479,28867
188,910.0,1430.0,1400.0,10.0,22.89827,4.54305,28043,28145
189,1010.0,1430.0,1400.0,10.0,21.93877,4.38551,26807,27105
190,1110.0,1430.0,1400.0,10.0,21.55529,4.32643,26313,26715
191,1210.0,1430.0,1400.0,10.0,21.3224,4.27583,26013,26381
192,110.0,1530.0,1400.0,10.0,11.92466,2.42277,13907,14148
193,210.0,1530.0,1400.0,10.0,13.42056,2.72588,15834,16149
194,310.0,1530.0,1400.0,10.0,15.40165,3.1008,18386,18624
195,410.0,1530.0,1400.0,10.0,18.05267,3.60689,21801,21965
196,510.0,1530.0,1400.0,10.0,20.35903,4.06513,24772,24990
197,610.0,1530.0,1400.0,10.0,22.52875,4.49594,27567,27834
198,710.0,1530.0,1400.0,10.0,24.06347,4.85283,29544,30190
199,810.0,1530.0,1400.0,10.0,24.49509,4.8295,30100,30036
200,910.0,1530.0,1400.0,10.0,24.04485,4.80511,29520,29875
201,1010.0,1530.0,1400.0,10.0,22.91535,4.58849,28065,28445
202,1110.0,1530.0,1400.0,10.0,22.05056,4.36581,26951,26975
203,1210.0,1530.0,1400.0,10.0,21.75868,4.38081,26575,27074
