id,geometry_type,xSite,ySite,zSite,radius,N_sim_600_655,N_sim_655_665
88,disk,510.0,1630.0,1000.0,10.0,168,174
89,disk,610.0,1630.0,1000.0,10.0,163,183
90,disk,710.0,1630.0,1000.0,10.0,179,178
91,disk,810.0,1630.0,1000.0,10.0,185,194
92,disk,910.0,1630.0,1000.0,10.0,188,222
93,disk,1010.0,1630.0,1000.0,10.0,211,199
94,disk,1110.0,1630.0,1000.0,10.0,180,192
95,disk,1210.0,1630.0,1000.0,10.0,183,197
96,disk,110.0,1730.0,1000.0,10.0,114,124
97,disk,210.0,1730.0,1000.0,10.0,127,162
98,disk,310.0,1730.0,1000.0,10.0,129,186
99,disk,410.0,1730.0,1000.0,10.0,139,164
100,disk,510.0,1730.0,1000.0,10.0,163,176
101,disk,610.0,1730.0,1000.0,10.0,163,187
102,disk,710.0,1730.0,1000.0,10.0,165,198
103,disk,810.0,1730.0,1000.0,10.0,191,189
104,disk,910.0,1730.0,1000.0,10.0,203,192
105,disk,1010.0,1730.0,1000.0,10.0,194,191
106,disk,1110.0,1730.0,1000.0,10.0,221,165
107,disk,1210.0,1730.0,1000.0,10.0,201,188
108,disk,110.0,1830.0,1000.0,10.0,91,109
109,disk,210.0,1830.0,1000.0,10.0,109,117
110,disk,310.0,1830.0,1000.0,10.0,139,133
111,disk,410.0,1830.0,1000.0,10.0,141,139
112,disk,510.0,1830.0,1000.0,10.0,157,158
113,disk,610.0,1830.0,1000.0,10.0,158,182
114,disk,710.0,1830.0,1000.0,10.0,185,169
115,disk,810.0,1830.0,1000.0,10.0,155,195
116,disk,910.0,1830.0,1000.0,10.0,209,184
117,disk,1010.0,1830.0,1000.0,10.0,194,165
118,disk,1110.0,1830.0,1000.0,10.0,161,195
119,disk,1210.0,1830.0,1000.0,10.0,181,149
120,disk,110.0,930.0,1400.0,10.0,125,140
121,disk,210.0,930.0,1400.0,10.0,138,146
122,disk,310.0,930.0,1400.0,10.0,135,167
123,disk,410.0,930.0,1400.0,10.0,156,153
124,disk,510.0,930.0,1400.0,10.0,173,203
125,disk,610.0,930.0,1400.0,10.0,173,194
126,disk,710.0,930.0,1400.0,10.0,181,200
127,disk,810.0,930.0,1400.0,10.0,231,224
128,disk,910.0,930.0,1400.0,10.0,217,198
129,disk,1010.0,930.0,1400.0,10.0,215,214
130,disk,1110.0,930.0,1400.0,10.0,232,214
131,disk,1210.0,930.0,1400.0,10.0,213,236
132,disk,110.0,1030.0,1400.0,10.0,136,143
133,disk,210.0,1030.0,1400.0,10.0,141,138
134,disk,310.0,1030.0,1400.0,10.0,144,162
135,disk,410.0,1030.0,1400.0,10.0,179,165
136,disk,510.0,1030.0,1400.0,10.0,157,179
137,disk,610.0,1030.0,1400.0,10.0,193,164
138,disk,710.0,1030.0,1400.0,10.0,221,195
139,disk,810.0,1030.0,1400.0,10.0,207,204
140,disk,910.0,1030.0,1400.0,10.0,195,210
141,disk,1010.0,1030.0,1400.0,10.0,187,251
142,disk,1110.0,1030.0,1400.0,10.0,192,197
143,disk,1210.0,1030.0,1400.0,10.0,224,222
144,disk,110.0,1130.0,1400.0,10.0,136,133
145,disk,210.0,1130.0,1400.0,10.0,136,133
146,disk,310.0,1130.0,1400.0,10.0,151,181
147,disk,410.0,1130.0,1400.0,10.0,174,189
148,disk,510.0,1130.0,1400.0,10.0,186,212
149,disk,610.0,1130.0,1400.0,10.0,206,198
150,disk,710.0,1130.0,1400.0,10.0,214,244
151,disk,810.0,1130.0,1400.0,10.0,216,192
152,disk,910.0,1130.0,1400.0,10.0,214,217
153,disk,1010.0,1130.0,1400.0,10.0,253,233
154,disk,1110.0,1130.0,1400.0,10.0,233,172
155,disk,1210.0,1130.0,1400.0,10.0,211,218
156,disk,110.0,1230.0,1400.0,10.0,118,143
157,disk,210.0,1230.0,1400.0,10.0,161,179
158,disk,310.0,1230.0,1400.0,10.0,155,166
159,disk,410.0,1230.0,1400.0,10.0,201,190
160,disk,510.0,1230.0,1400.0,10.0,210,214
161,disk,610.0,1230.0,1400.0,10.0,196,218
162,disk,710.0,1230.0,1400.0,10.0,227,227
163,disk,810.0,1230.0,1400.0,10.0,263,237
164,disk,910.0,1230.0,1400.0,10.0,237,212
165,disk,1010.0,1230.0,1400.0,10.0,256,255
166,disk,1110.0,1230.0,1400.0,10.0,220,249
167,disk,1210.0,1230.0,1400.0,10.0,220,249
168,disk,110.0,1330.0,1400.0,10.0,158,138
169,disk,210.0,1330.0,1400.0,10.0,140,165
170,disk,310.0,1330.0,1400.0,10.0,156,177
171,disk,410.0,1330.0,1400.0,10.0,192,197
172,disk,510.0,1330.0,1400.0,10.0,218,226
173,disk,610.0,1330.0,1400.0,10.0,270,266
174,disk,710.0,1330.0,1400.0,10.0,232,248
175,disk,810.0,1330.0,1400.0,10.0,237,259
176,disk,910.0,1330.0,1400.0,10.0,277,255
177,disk,1010.0,1330.0,1400.0,10.0,229,290
178,disk,1110.0,1330.0,1400.0,10.0,250,273
179,disk,1210.0,1330.0,1400.0,10.0,271,285
180,disk,110.0,1430.0,1400.0,10.0,128,154
181,disk,210.0,1430.0,1400.0,10.0,172,168
182,disk,310.0,1430.0,1400.0,10.0,191,172
