id,xSite,ySite,zSite,radius,N_sim_calibration_600_655,N_sim_calibration_655_665,N_sim_600_655,N_sim_655_665
126,710.0,930.0,1400.0,10.0,16.25526,3.28229,1972,1991
127,810.0,930.0,1400.0,10.0,16.82294,3.49446,2051,2130
128,910.0,930.0,1400.0,10.0,16.80137,3.53414,2048,2156
129,1010.0,930.0,1400.0,10.0,17.52001,3.60433,2148,2202
130,1110.0,930.0,1400.0,10.0,16.93072,3.58449,2066,2189
131,1210.0,930.0,1400.0,10.0,18.4054,3.6964,2116,2129
132,110.0,1030.0,1400.0,10.0,11.69926,2.30854,1338,1353
133,210.0,1030.0,1400.0,10.0,12.51847,2.46267,1452,1454
134,310.0,1030.0,1400.0,10.0,13.46703,2.63669,1584,1568
135,410.0,1030.0,1400.0,10.0,13.60357,2.79236,1603,1670
136,510.0,1030.0,1400.0,10.0,15.47195,3.19681,1863,1935
137,610.0,1030.0,1400.0,10.0,16.26963,3.40286,1974,2070
138,710.0,1030.0,1400.0,10.0,16.34146,3.32503,1984,2019
139,810.0,1030.0,1400.0,10.0,17.39063,3.43647,2130,2092
140,910.0,1030.0,1400.0,10.0,17.4194,3.57382,2134,2182
141,1010.0,1030.0,1400.0,10.0,16.83015,3.62417,2052,2215
142,1110.0,1030.0,1400.0,10.0,16.787,3.5906,2046,2193
143,1210.0,1030.0,1400.0,10.0,17.49124,3.48528,2144,2124
144,110.0,1130.0,1400.0,10.0,11.61302,2.23831,1326,1307
145,210.0,1130.0,1400.0,10.0,12.66218,2.36194,1472,1388
146,310.0,1130.0,1400.0,10.0,13.9054,2.63669,1645,1568
147,410.0,1130.0,1400.0,10.0,15.39291,2.9572,1852,1778
148,510.0,1130.0,1400.0,10.0,16.26242,3.28841,1973,1995
149,610.0,1130.0,1400.0,10.0,17.5885,3.50119,2159,2043
150,710.0,1130.0,1400.0,10.0,17.67809,3.68828,2170,2257
151,810.0,1130.0,1400.0,10.0,18.15957,3.59366,2237,2195
152,910.0,1130.0,1400.0,10.0,18.29608,3.65318,2256,2234
153,1010.0,1130.0,1400.0,10.0,17.94398,3.5906,2207,2193
154,1110.0,1130.0,1400.0,10.0,18.72725,3.62417,2316,2215
155,1210.0,1130.0,1400.0,10.0,18.1883,3.74172,2241,2292
156,110.0,1230.0,1400.0,10.0,11.69926,2.38943,1338,1406
157,210.0,1230.0,1400.0,10.0,12.82747,2.56799,1495,1523
158,310.0,1230.0,1400.0,10.0,14.05628,2.83968,1666,1701
159,410.0,1230.0,1400.0,10.0,15.32824,3.16019,1843,1911
160,510.0,1230.0,1400.0,10.0,16.28399,3.40439,1976,2071
161,610.0,1230.0,1400.0,10.0,18.47573,3.68675,2281,2256
162,710.0,1230.0,1400.0,10.0,18.93564,3.96456,2345,2438
163,810.0,1230.0,1400.0,10.0,19.50336,3.99051,2424,2455
164,910.0,1230.0,1400.0,10.0,19.53209,3.99659,2428,2459
165,1010.0,1230.0,1400.0,10.0,18.77035,3.88672,2322,2387
166,1110.0,1230.0,1400.0,10.0,18.5907,3.7707,2297,2311
167,1210.0,1230.0,1400.0,10.0,19.68301,3.89892,2449,2395
168,110.0,1330.0,1400.0,10.0,10.8791,2.18031,1373,1414
169,210.0,1330.0,1400.0,10.0,13.13646,2.69621,1538,1607
170,310.0,1330.0,1400.0,10.0,15.22763,3.03809,1829,1831
171,410.0,1330.0,1400.0,10.0,15.88876,3.33875,1921,2028
172,510.0,1330.0,1400.0,10.0,18.29608,3.70812,2256,2270
173,610.0,1330.0,1400.0,10.0,19.6182,3.91336,2431,2442
174,710.0,1330.0,1400.0,10.0,20.8869,4.17343,2584,2533
175,810.0,1330.0,1400.0,10.0,20.95496,4.39956,2626,2723
176,910.0,1330.0,1400.0,10.0,21.01964,4.38732,2635,2715
177,1010.0,1330.0,1400.0,10.0,20.48785,4.26828,2561,2637
178,1110.0,1330.0,1400.0,10.0,20.12135,4.19958,2510,2592
179,1210.0,1330.0,1400.0,10.0,18.8231,3.80179,2611,2607
180,110.0,1430.0,1400.0,10.0,11.99389,2.35123,1379,1381
181,210.0,1430.0,1400.0,10.0,14.02038,2.60767,1661,1549
182,310.0,1430.0,1400.0,10.0,15.19169,3.13423,1824,1894
183,410.0,1430.0,1400.0,10.0,16.99543,3.5265,2075,2151
184,510.0,1430.0,1400.0,10.0,18.96441,4.01036,2349,2468
185,610.0,1430.0,1400.0,10.0,20.28663,4.26068,2533,2632
186,710.0,1430.0,1400.0,10.0,22.23408,4.7323,2804,2941
187,810.0,1430.0,1400.0,10.0,22.14064,4.66819,2791,2899
188,910.0,1430.0,1400.0,10.0,21.68793,4.57048,2728,2835
189,1010.0,1430.0,1400.0,10.0,21.42204,4.53538,2691,2812
190,1110.0,1430.0,1400.0,10.0,21.61605,4.26369,2718,2634
191,1210.0,1430.0,1400.0,10.0,20.76811,4.19198,2600,2587
192,110.0,1530.0,1400.0,10.0,11.93638,2.43064,1371,1433
193,210.0,1530.0,1400.0,10.0,13.37362,2.69468,1571,1606
194,310.0,1530.0,1400.0,10.0,14.9833,3.14647,1795,1902
195,410.0,1530.0,1400.0,10.0,17.11041,3.63029,2091,2219
196,510.0,1530.0,1400.0,10.0,19.68301,4.22095,2449,2606
197,610.0,1530.0,1400.0,10.0,22.31312,4.50641,2815,2793
198,710.0,1530.0,1400.0,10.0,23.20421,4.79029,2939,2979
199,810.0,1530.0,1400.0,10.0,23.35508,4.75214,2960,2954
200,910.0,1530.0,1400.0,10.0,23.05329,4.73685,2918,2944
201,1010.0,1530.0,1400.0,10.0,23.12513,4.48806,2928,2781
202,1110.0,1530.0,1400.0,10.0,21.7957,4.45296,2743,2758
203,1210.0,1530.0,1400.0,10.0,21.43641,4.3202,2693,2671
204,110.0,1630.0,1400.0,10.0,12.06577,2.42452,1389,1429
